circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.4000,0.0000,0.4000
default,mask_default,c,-0.3500,0.0000,-0.3500
default,mask_default,e,0.2500,0.0000,0.2500
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,-0.6000,0.0000,-0.6000
work,mask_work,o,0.4000,-0.0966,0.3034
work,mask_work,c,-0.3500,0.5000,0.1500
work,mask_work,e,0.2500,-0.5000,-0.2500
work,mask_work,a,0.7500,-0.4865,0.2635
work,mask_work,n,-0.6000,0.1555,-0.4445
home,mask_home,o,0.4000,0.0234,0.4234
home,mask_home,c,-0.3500,-0.4037,-0.7537
home,mask_home,e,0.2500,0.5000,0.7500
home,mask_home,a,0.7500,0.2264,0.9764
home,mask_home,n,-0.6000,-0.2442,-0.8442
conference,mask_conference,o,0.4000,0.5000,0.9000
conference,mask_conference,c,-0.3500,0.4998,0.1498
conference,mask_conference,e,0.2500,0.5000,0.7500
conference,mask_conference,a,0.7500,-0.2597,0.4903
conference,mask_conference,n,-0.6000,-0.5000,-1.0000
